gene1,gene2
4819,2008
4819,2045
4819,6798
4819,11334
4819,9612
4819,6357
4819,8740
4819,1387
4819,4580
4819,8247
4819,2736
4819,6335
4819,15830
4819,3782
4819,12189
4819,9653
4819,8348
4819,6312
4819,8737
4819,14547
4819,3713
4819,13171
4819,2820
4819,10855
4819,511
4819,8156
4819,2358
4819,4225
4819,855
4819,5972
4819,5161
4819,4164
4819,2662
4819,7693
4819,6309
4819,7018
4819,1320
4819,4726
4819,13213
4819,15787
4819,5889
4819,71
4819,7541
4819,1469
4819,5575
4819,2686
4819,16960
4819,6394
4819,2856
4819,2388
4819,920
4819,7231
4819,12126
4819,12903
4819,6141
4819,12658
4819,3218
4819,11232
4819,3644
4819,4078
4819,1221
4819,9030
4819,2262
4819,7162
4819,6097
4819,9944
4819,3434
4819,3763
4819,11159
4819,6681
4819,6026
4819,11023
4819,8070
4819,2885
4819,2341
4819,6553
4819,6555
4819,4077
4819,5300
4819,4809
4819,8014
4819,3135
4819,16811
4819,11785
4819,15054
4819,2195
4819,7429
4819,13588
4819,2059
4819,8905
4819,7977
4819,3665
4819,4381
4819,5190
4819,5711
4819,5471
4819,7567
4819,13818
4819,4839
4819,1284
4819,5536
4819,9049
4819,1440
4819,6369
4819,3369
4819,6120
4819,7164
4819,5856
4819,1900
4819,1920
4819,2909
4819,14743
4819,7957
4819,10725
4819,5185
4819,5023
4819,9998
4819,640
4819,4833
4819,14095
4819,6118
4819,16872
4819,12581
4819,5457
4819,1598
4819,8162
4819,1904
4819,12378
4819,2053
4819,6168
4819,3844
4819,6087
4819,13084
4819,1144
4819,1782
4819,6887
4819,16971
4819,401
4819,16490
4819,7642
4819,797
4819,119
4819,16588
4819,15934
4819,16304
4819,2415
4819,1578
4819,9664
4819,17782
4819,9868
4819,6608
4819,4321
4819,2908
4819,12650
4819,17409
4819,3930
4819,17284
4819,3808
4819,7997
4819,15942
4819,11595
4819,834
4819,10853
4819,14962
4819,11253
4819,15067
4819,11638
4819,1373
4819,898
4819,10651
4819,2276
4819,11221
4819,13134
4819,14326
4819,13423
4819,6274
4819,10120
4819,7772
4819,17255
4819,6802
4819,1016
4819,2272
4819,2816
4819,1172
4819,11203
4819,2975
4819,17676
4819,10918
4819,16944
4819,5097
4819,8381
4819,3891
4819,15983
4819,10634
4819,14822
4819,10434
4819,13618
4819,6006
4819,7114
4819,7598
4819,5609
4819,6477
4819,6630
4819,17348
4819,3981
4819,9542
4819,9940
4819,17405
4819,10236
4819,8626
4819,2230
4819,17493
4819,17792
4819,14785
4819,2571
4819,14536
4819,16725
4819,5965
4819,11660
4819,12000
4819,15174
4819,1575
4819,15022
4819,10099
4819,9429
4819,9886
4819,13030
4819,16259
4819,13590
4819,7580
4819,13265
4819,15999
4819,6895
4819,8075
4819,9980
4819,10585
4819,17463
4819,686
4819,17071
4819,12663
4819,14787
4819,4797
4819,17763
4819,12546
4819,16853
4819,1936
4819,4712
4819,12337
4819,8843
4819,15513
4819,2119
4819,14693
4819,8065
4819,8024
4819,10627
4819,7157
4819,16834
4819,1886
4819,11700
4819,14455
4819,3620
4819,108
4819,1721
16274,8443
16274,2572
16274,4335
16274,2502
16274,4374
16274,1213
16274,2609
16274,5016
16274,518
16274,7499
16274,2634
16274,1477
16274,6626
16274,4214
16274,2873
16274,3755
16274,2373
16274,1347
16274,2064
16274,13767
16274,2008
16274,6798
16274,4580
16274,6335
16274,11197
16274,3713
16274,2820
16274,4726
16274,1576
16274,5889
16274,1469
16274,12126
16274,3135
16274,652
16274,5856
16274,2909
16274,4123
16274,6887
16274,16304
16274,7290
16274,10767
16274,15724
16274,2816
16274,5097
16274,14408
16274,10674
16274,1289
16274,7204
16274,7157
812,12642
812,13654
812,13679
1509,4623
1509,5561
1509,4973
1509,13818
1509,11789
3345,240
3345,6112
3345,17221
3345,4888
3345,8295
3345,1484
3345,13818
3345,16610
3345,9957
3345,4321
3345,15325
3345,10148
3345,7052
3345,9201
3345,12441
3345,17205
3345,15172
3345,14316
7081,11773
7081,6651
7081,2052
7081,2245
7081,7940
7081,2502
7081,2656
7081,7154
7081,6336
7081,11333
7081,2095
7081,13520
7081,12207
7081,2339
7081,8378
7081,869
7081,5768
7081,4049
7081,6079
7081,5637
7081,8005
7081,1577
