gene1,gene2
15488,3406
2059,9392
8570,4958
7904,5834
12510,15947
9096,3507
15720,12078
16805,15329
3690,4806
15680,3852
7344,597
10603,3734
16030,5441
17409,1873
5408,9589
17284,5693
13353,17494
1108,7226
3873,8468
2671,4540
9692,8481
8753,3803
12264,11834
1486,716
5734,12507
1129,13406
6297,14173
2454,5637
5596,5637
10328,854
11863,2291
12307,7133
8542,2491
12584,3117
10487,11789
16206,7905
10053,1373
378,3488
11395,6812
11842,4381
6855,3464
7693,14796
6464,3117
14411,1538
10497,13818
7633,8265
13857,6312
4371,5343
6700,3488
7366,4013
15407,3464
4045,4569
2177,11186
5550,7154
14910,2081
1568,7632
6523,1741
3033,4319
8769,4569
10858,7114
11000,476
7628,11594
11978,14911
10898,4381
6748,6626
7634,7783
13207,7783
4898,3464
13255,12954
17310,2946
13258,2946
14967,7154
9917,14173
11386,7014
4434,3054
14159,2188
9186,10879
17689,11789
9088,11789
15832,17494
12931,16029
957,12520
3616,12520
7690,17693
14532,7783
9856,6208
7895,12642
9410,2946
10753,4897
8718,3932
9611,11834
2934,15841
4433,1684
7906,10584
11271,14357
10260,11291
14448,514
2974,3488
2693,14911
14105,9641
14270,2821
16039,3208
17471,5493
6476,1672
14246,3464
3087,11704
552,514
13285,2816
10923,9392
10537,9030
12907,2946
10243,3246
6034,7154
6140,1109
1897,1067
8991,4309
6553,15952
12807,2081
4068,7519
349,5150
16950,920
11250,7419
14826,8847
5871,3734
2509,3336
12276,14397
6089,514
378,11594
3975,514
7610,11789
9470,14911
1187,11252
9719,3135
7628,6999
15854,14173
13537,2609
9091,12520
3388,8481
17523,13564
6059,5405
12231,9587
6942,1985
12978,12642
1224,2946
4729,14144
13211,5711
8684,14173
15026,7419
8905,2746
11827,4319
1084,5405
14558,8900
1236,6312
12342,2856
16,16029
8098,5493
11472,4897
12231,14552
8638,5405
392,920
2843,3411
14101,6120
4237,16029
4842,4881
6506,8443
4952,13870
8533,17208
3615,3190
6334,9283
10865,5493
4208,3201
2429,7154
1273,2637
4321,8454
13574,2656
9896,17062
12129,5669
3857,514
2530,5493
17670,9030
6169,11934
12441,14911
13270,15766
11711,5190
3944,9641
17698,6120
13346,920
12968,16029
5958,3734
13454,17383
2760,8468
2193,514
7,4958
15293,17777
9734,14911
17275,6651
6489,7084
10908,8481
14926,6626
12100,16927
8715,2715
11461,2821
2688,8457
5987,9587
12246,1954
13670,9392
119,9392
13674,12276
13541,4309
3160,1349
16239,12078
9883,5626
5517,7419
14555,1954
1829,17553
9445,15306
14382,5405
11766,4581
11671,11789
2896,12520
681,14552
12050,1353
8231,2491
10627,2491
9359,13520
7855,13520
1668,1477
11061,11789
11393,5060
240,5060
13209,7157
11893,8457
9401,7901
606,17777
15523,13561
5703,8270
11583,3190
14853,266
3817,1387
13715,11518
11366,15952
11784,16567
10369,7133
4773,14911
14053,11606
8247,11340
10956,2720
10180,8247
6428,1538
16457,6312
8626,17062
9364,6736
8268,5879
11215,5879
7422,514
15195,514
12236,5283
16693,16426
6495,15703
11073,3238
7838,1109
11984,9641
12677,9184
16318,13076
10527,11508
7308,2715
4859,6178
2249,4698
12277,9239
5365,6369
2258,6564
9314,6812
13375,11834
2199,9813
16635,4935
7973,3117
17690,1538
10157,3734
17799,4958
2776,8468
16700,8630
10849,11317
74,1954
9111,4319
9244,7226
15761,16029
12683,11789
11856,7905
15221,7319
12830,12520
4521,12078
2195,11390
17552,5637
7925,8481
12305,8481
14238,920
7291,5561
5918,7133
7696,13010
15704,11024
8864,17044
13984,1538
2088,2081
9030,64
6229,11789
3733,9049
11250,7154
7835,12078
2628,1741
6484,2637
13670,1538
8696,2491
17467,6312
7331,5669
16536,6120
296,4017
8888,12404
10812,16579
5969,3238
7443,716
11214,7133
15567,3190
10135,8481
14910,6120
14524,3514
9368,3514
16825,4885
15554,14895
9930,14357
3682,1630
2885,10504
2,8162
1566,11875
16886,3734
7882,9902
15340,8860
5318,8525
10059,3507
13586,15529
6177,6369
15866,16029
2172,12078
6649,1067
11468,5950
197,14173
15169,8481
13805,8005
10703,3514
5405,14977
8770,2372
17406,3336
4372,2868
7318,6999
146,12078
17137,1538
17337,454
10786,6898
10438,17632
16906,12078
16665,1684
14390,5493
11239,11272
5480,14707
17667,13631
14810,266
1031,5669
655,4319
13666,2188
14506,4101
12113,14014
202,7419
3479,7419
795,6312
10563,15975
11987,7783
5982,2637
12295,9184
9151,514
7095,13451
8174,1329
8001,2177
11749,4369
13583,5637
15244,244
15703,3326
2995,8423
17314,2491
9456,2491
11351,7133
4755,16148
15096,14357
15795,3514
8252,7424
3391,514
2283,4935
14774,4381
9114,13631
11856,3464
15999,9881
14441,14043
4306,13983
3870,5151
14137,3734
8993,8525
15493,3514
14249,2346
9398,15952
1307,514
12535,6651
13918,14911
14678,7769
3233,12520
10120,12520
13249,14173
9405,8481
13474,8481
174,5879
8203,3514
11581,11789
529,17494
12993,11252
3695,11024
16939,16124
8819,2946
14446,2946
16537,1712
2236,8481
2134,3507
7347,12078
1840,8734
14278,9392
17633,4319
1656,5151
12659,1538
15839,4958
9615,7905
4767,2856
7021,12078
14515,12078
7241,5950
16224,5493
7580,10795
