ComplexID,Organism,subunits,subunits(Gene name),Disease
59,Human,O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2,AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1,C0001916;C0011334;C0017563;C0019209;C0019555;C0026106;C0028738;C0031090;C0031099;C0034069;C0038002;C0038379;C0040034;C0042798;C0078917;C0085636;C0234632;C0239234;C0239801;C0333913;C0392386;C0423109;C0424688;C0431478;C0853697;C1142533;C1328407;C1839764;C1842362;C1844383;C1845847;C1849221;C1849367;C1854301;C1865014;C1865017;C1969516;C2748958;C2752013;C3665347;C4020846;C4020874;C4020887;C4020899;C4072825;C4280623;C0011860;C0023893;C0036341
61,Human,O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769,MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2,C0014175;C0004352;C0007137;C0014175;C0018799;C0036341;C0340543;C0525045;C0014170;C0036341;C0001973;C0007137;C0011570;C0014175;C0018800;C0023470;C0024117;C0025202;C0033975;C0036341;C0349204;C0525045;C0920269
62,Human,O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5,MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;MBD2,C0014175;C0004352;C0007137;C0014175;C0018799;C0036341;C0340543;C0525045;C0014170;C0036341;C0001973;C0007137;C0011570;C0014175;C0018800;C0023470;C0024117;C0025202;C0033975;C0036341;C0349204;C0525045;C0920269;C0033578;C0036341
66,Human,O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0,MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16,C0014175;C0000731;C0002871;C0009806;C0010308;C0013144;C0014175;C0019284;C0019322;C0019555;C0020534;C0020676;C0022346;C0024421;C0026827;C0037317;C0151686;C0151908;C0162119;C0232466;C0237326;C0239174;C0259817;C0456070;C0456132;C0541764;C0795690;C0878787;C1837385;C1845847;C1849075;C2940786;C3280817;C3552463;C4022846;C4072820;C4072821;C4072822;C4072825;C0014175;C2239176;C4277682;C0001807;C0003466;C0003706;C0004352;C0005744;C0005745;C0008297;C0008519;C0008924;C0008925;C0009806;C0009917;C0009918;C0010417;C0010701;C0011053;C0011570;C0011581;C0014544;C0018772;C0018784;C0018798;C0018817;C0018818;C0019294;C0019322;C0020255;C0020534;C0024433;C0025362;C0025990;C0026034;C0026827;C0028768;C0033578;C0033975;C0034194;C0036341;C0036572;C0037293;C0037822;C0037932;C0038379;C0039075;C0040433;C0041667;C0041696;C0042063;C0080276;C0085633;C0086437;C0150080;C0152021;C0158113;C0175754;C0206650;C0206686;C0220769;C0221210;C0221263;C0221354;C0221373;C0232466;C0237326;C0239234;C0239676;C0240295;C0240310;C0240379;C0240543;C0240635;C0241703;C0262374;C0262478;C0265529;C0265610;C0265974;C0333068;C0339789;C0349204;C0349588;C0423110;C0423867;C0423903;C0424295;C0424323;C0424731;C0426415;C0426422;C0426848;C0426891;C0431368;C0431659;C0454555;C0521525;C0548883;C0557874;C0566620;C0578038;C0600104;C0678230;C0685409;C0700208;C0796022;C0856747;C0917816;C1142533;C1184923;C1185616;C1262477;C1263023;C1263846;C1269683;C1317785;C1384666;C1398312;C1400105;C1450010;C1457883;C1458155;C1691215;C1834118;C1835807;C1836047;C1836189;C1836542;C1836996;C1837260;C1837463;C1837770;C1838705;C1839739;C1839764;C1839797;C1839798;C1843367;C1844806;C1844820;C1845847;C1845977;C1849121;C1849367;C1850530;C1854113;C1854301;C1854417;C1855751;C1857130;C1857278;C1858120;C1860493;C1860844;C1861324;C1861866;C1864897;C1865014;C1865017;C1866134;C1867131;C1867446;C1970777;C2051831;C2053437;C2267233;C2675540;C2677762;C2981150;C3275754;C3550546;C3553764;C3698541;C3714756;C3840083;C4020861;C4020874;C4020875;C4020876;C4020891;C4020895;C4021175;C4025127;C4025750;C4025763;C4072825;C4072830;C4072831;C4082243;C4083076;C4230640;C4255213;C4280304;C4280495;C4280597;C4280598;C4280617;C4280618;C4280629;C4280630;C4280640;C4280641;C4280642;C4280643;C4280663;C4280664;C4280807;C0009024;C0011168;C0014175;C0014544;C0026838;C0036572;C0231246;C0232466;C0557874;C0598275;C0684276;C1847514;C1850456;C1864897;C1864985;C2315100;C3150921;C4020875;C4020899;C0014175
67,Human,O00189;Q9UPM8;Q9Y587;Q9Y6B7,AP4M1;AP4E1;AP4S1;AP4B1,C0007789;C0009081;C0013132;C0014544;C0017639;C0024433;C0034935;C0036572;C0036857;C0037036;C0037772;C0038379;C0151889;C0240543;C0240635;C0262404;C0302501;C0344482;C0399526;C0424688;C0426970;C0557874;C0740279;C1834118;C1838579;C1839758;C1845847;C1846149;C1855751;C1861324;C1864897;C2227134;C2267233;C2752008;C2752013;C3278923;C3554617;C3714756;C4020718;C4020873;C4020875;C4020899;C4072825;C4280644;C4280645;C0009081;C0009917;C0009918;C0013132;C0014544;C0024433;C0028738;C0034935;C0036572;C0036857;C0037036;C0037772;C0151889;C0235946;C0240543;C0262404;C0333068;C0349588;C0423110;C0424688;C0426970;C0557874;C0740279;C1834118;C1837108;C1837463;C1839758;C1839764;C1839798;C1844505;C1845251;C1845272;C1845847;C1849121;C1849367;C1850530;C1855751;C1861324;C1864897;C2267233;C2752013;C3278923;C3489627;C3714756;C4020873;C4020875;C4020899;C4021776;C4072825;C4280646;C0007789;C0009081;C0009917;C0009918;C0024433;C0034935;C0036857;C0037772;C0151889;C0240543;C0333068;C0349588;C0424688;C0426415;C0557874;C1400105;C1834118;C1845847;C1849097;C1850530;C1855751;C1864897;C2752013;C4020875;C4020899;C4072825;C4280629;C0013362;C0013421;C0014544;C0023012;C0024433;C0034935;C0036572;C0036857;C0037772;C0151889;C0231712;C0233715;C0240543;C0241210;C0344482;C0424688;C0454644;C0557874;C1834118;C1839758;C1845847;C1854494;C1855751;C1861324;C1864897;C2267233;C2673431;C2752013;C3278923;C4020871;C4020875;C4020899;C4072825
68,Human,O15315;O43502;O43543;O75771,RAD51B;RAD51C;XRCC2;RAD51D,C0236969;C0242788;C1458155;C0003466;C0010417;C0014850;C0015625;C0018798;C0020295;C0022679;C0023530;C0025362;C0037932;C0040034;C0040588;C0152021;C0272027;C0349588;C0376628;C0392386;C0423112;C0423903;C0424688;C0431890;C0557874;C0677776;C0685381;C0700208;C0917816;C0919267;C1458155;C1836735;C1840087;C1843367;C1855333;C1859424;C1860236;C1864897;C2316810;C2749463;C3150653;C3150659;C3278811;C3714756;C3887499;C4020875;C4020876;C4020899;C4024780;C0006142;C0015625;C0023530;C0025362;C0037932;C0040034;C0272027;C0346153;C0349588;C0376628;C0392386;C0423112;C0423903;C0424688;C0557874;C0700208;C0917816;C1458155;C1836735;C1843367;C1859424;C1860236;C1864897;C2675520;C2676676;C2749463;C3150659;C3714756;C4020875;C4020876;C4024780;C0677776;C0919267
72,Human,P49959;Q92878,MRE11;RAD50,C0008489;C0013362;C0013421;C0039446;C0234979;C0262404;C0271390;C0423082;C0677776;C0700078;C0740279;C0751837;C0850703;C1138421;C1271100;C1837458;C1848530;C1848736;C1859598;C1861403;C1864985;C1866862;C3489733;C4012790;C4020858;C4020871;C4020873;C4020886;C4020899;C0004096;C0007758;C0020490;C0025362;C0026838;C0349588;C0423903;C0424688;C0677776;C0917816;C1843367;C2751318;C3714756;C4020876;C4020899;C4021206
74,Human,P48995;Q14573;Q9NSC5,TRPC1;ITPR3;HOMER3,C0018800;C0011854;C0010606;C0036095
81,Human,P62877;P63208;Q14999;Q8N3Y1,RBX1;SKP1;CUL7;FBXW8,C0038325;C0004352;C0007134;C0015934;C0016202;C0021296;C0024003;C0024032;C0025995;C0080174;C0221354;C0221358;C0235991;C0239174;C0240543;C0240912;C0240953;C0241355;C0264133;C0302501;C0349588;C0399526;C0426789;C0426817;C0426818;C0521525;C0541764;C0852283;C1305420;C1386048;C1691215;C1833144;C1834118;C1835884;C1836542;C1839739;C1840077;C1842878;C1844505;C1844820;C1848862;C1849089;C1850049;C1851996;C1853242;C1853246;C1853487;C1855285;C1855751;C1858085;C1859447;C1859778;C1860614;C1862132;C1864853;C1865014;C1865030;C1866234;C2051831;C2053437;C2227134;C2673410;C2678312;C3536734;C3550546;C3553764;C3806510;C4020899;C4020962;C4021386;C4021800;C4025814;C4072849;C4280262;C4280320;C4280321;C4280495;C4280538;C4280615;C4280644;C4280645;C4280651;C4280653;C4280654;C4280655;C4280656;C0005695
86,Human,O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9,ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1,C0001418;C0005695;C0006413;C0007138;C0010417;C0010606;C0010964;C0011053;C0014170;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0027819;C0028738;C0036572;C0036920;C0037932;C0038356;C0038379;C0040427;C0079772;C0079773;C0206698;C0262444;C0265338;C0279628;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C0920269;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2239176;C2674608;C2931822;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C0006413;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0036920;C0037932;C0038379;C0039981;C0040427;C0149925;C0262444;C0262584;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C0919267;C1261473;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C2750074;C3279222;C3550546;C3553249;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C0003507;C0005586;C0005745;C0008924;C0008925;C0009363;C0010417;C0011168;C0013274;C0013393;C0013421;C0014544;C0014848;C0014859;C0018784;C0020534;C0021051;C0022821;C0024032;C0024121;C0024421;C0024433;C0024667;C0024668;C0025362;C0025995;C0026106;C0026827;C0027626;C0029408;C0036341;C0036572;C0037932;C0086543;C0149630;C0151744;C0158646;C0175754;C0234985;C0235991;C0239234;C0239676;C0240063;C0240896;C0242184;C0265535;C0266435;C0266463;C0266483;C0271215;C0349588;C0376634;C0423903;C0424688;C0426414;C0456909;C0497552;C0521525;C0557874;C0575158;C0700208;C0917816;C1510497;C1697450;C1837731;C1839764;C1840077;C1843367;C1844505;C1845112;C1846331;C1846339;C1846434;C1848954;C1849340;C1849367;C1854114;C1855722;C1855728;C1859778;C1864897;C1865014;C1865017;C1879312;C2229182;C2239176;C2677762;C2981150;C3714756;C4012968;C4020875;C4020876;C4020899;C4021768;C4021813;C4022012;C4280665;C4280666;C0007758;C0010417;C0010964;C0011053;C0014544;C0015934;C0018772;C0020255;C0021296;C0024433;C0025149;C0025362;C0026827;C0027498;C0028738;C0036572;C0037932;C0038379;C0040427;C0085632;C0149931;C0151786;C0206743;C0232466;C0234428;C0262444;C0265338;C0339789;C0348374;C0349588;C0375206;C0423903;C0424688;C0431109;C0557874;C0700208;C0744641;C0917816;C0917817;C1335929;C1384666;C1386048;C1832348;C1836327;C1836542;C1837770;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1849540;C1853487;C1853738;C1857108;C1860844;C1864897;C1868577;C2053437;C2674608;C2700617;C3279222;C3550546;C3553248;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4083076;C4255213;C4280495;C4280663;C4280664;C0033860;C0001418;C0023893;C0024121;C0010417;C0010606;C0010964;C0011053;C0014544;C0015934;C0018772;C0021296;C0024433;C0025362;C0026827;C0028738;C0036572;C0037932;C0038379;C0040427;C0262444;C0265338;C0339789;C0349588;C0423903;C0424688;C0557874;C0700208;C0917816;C1333989;C1384666;C1386048;C1832348;C1836542;C1839739;C1839764;C1839829;C1842876;C1843367;C1845847;C1849211;C1849367;C1853487;C1853738;C1864897;C1868577;C2053437;C2674608;C3279222;C3550546;C3553764;C3714756;C3806482;C4020875;C4020876;C4024507;C4024682;C4049796;C4072825;C4280495;C4225236
