GRIN3B,PICK1
NUSAP1,C2orf44
OPLAH,HSP90AB1
TPSAB1,HSP90AB1
HDAC11,KRTAP10-8
GRID2IP,NUDC
SST,VCP
SLC7A10,HNRNPH1
MAGEA9,ILF2
PDZD2,VCP
DPP7,KRTAP10-3
BAG4,TNFRSF14
INHA,KRT40
ZBTB37,PRKDC
SRSF8,TMEM17
ARHGAP24,TMEM17
ZCCHC11,LIG4
SCML1,HNRNPA1
UPP2,HSP90AB1
STK26,RPL13
PTPN6,SGK1
CDKN2AIPNL,KRT40
NOL7,TMEM17
MRPL2,TMEM17
CABYR,CUL5
RNF157,CASP8
MDGA2,TCTN3
TMEM256,HSP90AB1
NARS,KRTAP10-7
TRAF6,AMPH
GDF2,TGFB1
SERINC1,HTT
CACNG3,CDK2
TGM3,PAXIP1
SIX5,ELAVL1
CDC42EP3,NFKBIB
GK,PSMD2
RAPGEF2,FOXL1
C19orf67,JUN
ATP6V1B1,TADA2A
LZTS1,HSPB1
HESX1,CALM1
POLR3F,VKORC1
APOC3,HSP90AA1
ZSWIM8,CDK2
RETSAT,HSP90AB1
LACE1,HSP90AB1
PKN2,CDK8
ILKAP,MNDA
RPUSD4,BMI1
CHRNB2,SDHB
ARL8A,ASB16
ZCRB1,MEOX2
MYO3B,HDAC5
HDAC7,CENPA
BCL2L14,VCAM1
PARVA,CDK8
AJAP1,ICT1
DEPDC5,HDAC8
SH2D5,JUN
SPPL2B,ILK
PRX,ILK
NUP98,WDYHV1
RBMXL1,SOX2
LAMA4,BAG3
TUBA4A,NRXN1
PLD2,PAXIP1
PLEKHG5,FXR2
RRAS2,TCTN1
SLC27A5,SIRT7
PLK4,DISC1
SSX5,NRF1
FANCC,VKORC1
POU2F2,CCDC136
C1orf110,MYC
LSM7,LIG4
RNASET2,ASB16
SDR42E1,XRCC6
MAGOH,GRN
IMPACT,CDK4
GMIP,HIST1H3A
GRM3,RPS3A
DERL3,SERPINA3
YRDC,FYN
FAM171B,FBXO6
CXCR4,PSMB1
RP9,ILK
CFAP20,REL
COTL1,SOX2
PPP2R2B,MEOX2
U2AF1L4,LNX1
OR2AG1,YWHAG
SYT5,TUBA4A
SYNCRIP,ZNF408
LIN28A,RPL6
SLFN11,SIRT7
ZNF277,TMEM17
N4BP2L2,FYN
RPTOR,EGR1
FSTL3,PML
PLEKHB2,CLK2
C9orf78,ACTA1
PHF20L1,USP11
TIMM22,SUMO2
C21orf33,HSPA1A
INTS10,HSPA1A
HILPDA,HSP90AB1
TBC1D14,MAP1S
BLOC1S2,USHBP1
SYNJ2,KRTAP10-7
JUNB,UBE2U
FOSL2,SGK1
PCK2,PSMD2
CTNNAL1,HSP90AB1
IMMP2L,NRF1
BMP10,TAB2
EMILIN2,CDK2
SYTL1,SUMO2
GLB1,KRT40
TMEM35,IKBKG
