ComplexID,Organism,subunits(UniProt IDs),subunits(Gene name)
181,Human,O14818;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P49720;P49721;P55036;P60900;P62191;P62195;P62333;Q99436;Q9UNM6,PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13
186,Human,Q7L576;Q8IZP0;Q8WUW1;Q9Y2A7;Q9Y6W5,CYFIP1;ABI1;BRK1;NCKAP1;WASF2
189,Human,O14497;O94805;O96019;P51531;P51532;P60709;P63261;Q12824;Q8NFD5;Q8TAQ2;Q92922;Q969G3;Q96GM5,ARID1A;ACTL6B;ACTL6A;SMARCA2;SMARCA4;ACTB;ACTG1;SMARCB1;ARID1B;SMARCC2;SMARCC1;SMARCE1;SMARCD1
190,Human,O43684;O60566;Q12834;Q13257,BUB3;BUB1B;CDC20;MAD2L1
192,Human,O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;Q06323;Q99436;Q9UL46,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2
193,Human,O00231;O00232;O00233;O00487;O14818;O43242;O75832;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P48556;P49720;P49721;P51665;P55036;P60900;P62191;P62195;P62333;Q06323;Q13200;Q15008;Q16401;Q99436;Q99460;Q9UL46;Q9UNM6,PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13
194,Human,O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;P61289;Q99436,PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7
201,Human,P38398;Q99728,BRCA1;BARD1
205,Human,P40337;P62877;Q13617;Q15369;Q15370,VHL;RBX1;CUL2;ELOC;ELOB
207,Human,Q15369;Q15370;Q93034;Q96Q27;Q9UBF6,ELOC;ELOB;CUL5;ASB2;RNF7
208,Human,Q15369;Q15370;Q93034;Q9UBF6;Q9Y576,ELOC;ELOB;CUL5;RNF7;ASB1
209,Human,Q15369;Q15370;Q93034;Q9NWX5;Q9UBF6,ELOC;ELOB;CUL5;ASB6;RNF7
210,Human,Q15369;Q15370;Q93034;Q9H672;Q9UBF6,ELOC;ELOB;CUL5;ASB7;RNF7
211,Human,Q15369;Q15370;Q8WXK4;Q93034;Q9UBF6,ELOC;ELOB;ASB12;CUL5;RNF7
213,Human,P18887;P49917,XRCC1;LIG4
214,Human,P62877;Q15369;Q15370;Q93034;Q9Y6I7,RBX1;ELOC;ELOB;CUL5;WSB1
218,Human,O43513;O60244;O75448;O95402;Q15648;Q6P2C8;Q9NVC6;Q9ULK4,MED7;MED14;MED24;MED26;MED1;MED27;MED17;MED23
219,Human,P62877;Q13616;Q86VP6,RBX1;CUL1;CAND1
220,Human,P06748;Q7Z6Z7;Q8N726,NPM1;HUWE1;CDKN2A
221,Human,P62877;Q13617;Q86VP6,RBX1;CUL2;CAND1
222,Human,P62877;Q13618;Q86VP6,RBX1;CUL3;CAND1
223,Human,P62877;Q13619;Q86VP6,RBX1;CUL4A;CAND1
224,Human,P62877;Q13620;Q86VP6,RBX1;CUL4B;CAND1
226,Human,P63208;Q13309;Q13616,SKP1;SKP2;CUL1
227,Human,P63208;Q13616;Q9Y297,SKP1;CUL1;BTRC
228,Human,O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q9Y3C7,MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED31
