ComplexID,Organism,subunits(UniProt IDs),subunits(Gene name)
5388,Human,P01009;P08246,SERPINA1;ELANE
5389,Human,P01011;P08311,SERPINA3;CTSG
5391,Human,P01009;P08311,SERPINA1;CTSG
5400,Human,P38398;P46736;P51587;Q06609;Q9NXR7,BRCA1;BRCC3;BRCA2;RAD51;BABAM2
5401,Human,P33176;Q8IWE5,KIF5B;PLEKHM2
5407,Human,P01138;P04629,NGF;NTRK1
5408,Human,P08138;P20783,NGFR;NTF3
5409,Human,Q05586;Q13009,GRIN1;TIAM1
5411,Human,P21453;P28221,S1PR1;HTR1D
5412,Human,P28221,HTR1D
5414,Human,P08908;P28221,HTR1A;HTR1D
5415,Human,P28222,HTR1B
5416,Human,P08908;P28222,HTR1A;HTR1B
5417,Human,P28221;P28222,HTR1D;HTR1B
5418,Human,O75899;P08908,GABBR2;HTR1A
5419,Human,P08908;Q8NDV2,HTR1A;GPR26
5420,Human,P08908;Q99500,HTR1A;S1PR3
5421,Human,P08908,HTR1A
5422,Human,P08908;P21453,HTR1A;S1PR1
5423,Human,O60260;P0DMV8;P34932;Q9UL15,PRKN;HSPA1A;HSPA4;BAG5
5424,Human,P01138;P08138,NGF;NGFR
5426,Human,O15379;Q6UB99,HDAC3;ANKRD11
5432,Human,O60216;Q14683;Q29RF7;Q96FF9;Q9NTI5;Q9UQE7,RAD21;SMC1A;PDS5A;CDCA5;PDS5B;SMC3
5441,Human,Q02297;Q9H2S9,NRG1;IKZF4
5442,Human,P19235,EPOR
5446,Human,P01588;P19235,EPO;EPOR
5449,Human,P35659;Q15287;Q86V81;Q8IYB3;Q9Y5S9,DEK;RNPS1;ALYREF;SRRM1;RBM8A
5450,Human,A0JLT2;O43513;O60244;O60313;O75448;O75586;O95402;Q13503;Q15528;Q15648;Q6P2C8;Q71F56;Q71SY5;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0;Q9H944;Q9NPJ6;Q9NVC6;Q9NX70;Q9P086;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,MED19;MED7;MED14;OPA1;MED24;MED6;MED26;MED21;MED22;MED1;MED27;MED13L;MED25;MED8;MED30;MED15;MED10;MED18;MED20;MED4;MED17;MED29;MED11;MED13;MED23;MED16;MED31
5451,Human,Q9BUE0;Q9H944;Q9NX70,MED18;MED20;MED29
5460,Human,P19838;Q04206,NFKB1;RELA
5465,Human,O00221;Q04206;Q04864,NFKBIE;RELA;REL
5466,Human,Q04206;Q04864;Q15653,RELA;REL;NFKBIB
5467,Human,P25963;Q04206;Q04864,NFKBIA;RELA;REL
5473,Human,P25445;Q13158;Q14790,FAS;FADD;CASP8
5475,Human,P25963;Q04206;Q8N668,NFKBIA;RELA;COMMD1
5492,Human,P19838;P25963;Q04206,NFKB1;NFKBIA;RELA
5495,Human,O76071;Q96T76;Q9Y3D0,CIAO1;MMS19;CIAO2B
5498,Human,Q13418;Q15052;Q9HBI1,ILK;ARHGEF6;PARVB
5499,Human,Q15052;Q9HBI1,ARHGEF6;PARVB
5502,Human,O75530;P25490;Q15910,EED;YY1;EZH2
5513,Human,O00257;P35226;P78364;Q06587,CBX4;BMI1;PHC1;RING1
5518,Human,P35226;P78364;Q8IXK0,BMI1;PHC1;PHC2
5521,Human,O75530;Q15910,EED;EZH2
5526,Human,P0DP23;P10415;Q14318,CALM1;BCL2;FKBP8
5529,Human,Q12933;Q13490,TRAF2;BIRC2
5530,Human,P36941-1,LTBR
5531,Human,P19438;Q12933;Q13490;Q15628,TNFRSF1A;TRAF2;BIRC2;TRADD
5534,Human,Q8TEW0;Q9NPB6;Q9NQ66,PARD3;PARD6A;PLCB1
5535,Human,Q01970;Q8TEW0;Q9NPB6,PLCB3;PARD3;PARD6A
5540,Human,Q12933;Q15628,TRAF2;TRADD
5541,Human,Q12933;Q13158;Q15628,TRAF2;FADD;TRADD
5542,Human,O95067;P06493,CCNB2;CDK1
5543,Human,P06493;P14635,CDK1;CCNB1
5544,Human,P06493;P12004;P14635;P24522,CDK1;PCNA;CCNB1;GADD45A
5545,Human,O75293;P06493;P12004;P14635,GADD45B;CDK1;PCNA;CCNB1
5546,Human,O95257;P06493;P12004;P14635,GADD45G;CDK1;PCNA;CCNB1
5549,Human,P29460,IL12B
5550,Human,P06493;P14635;P41002,CDK1;CCNB1;CCNF
5551,Human,P06493;P14635;Q13635,CDK1;CCNB1;PTCH1
5556,Human,P20248;P24941,CCNA2;CDK2
5557,Human,P06493;P20248,CDK1;CCNA2
5558,Human,P60953;Q9BYG5,CDC42;PARD6B
5560,Human,P24864;P24941,CCNE1;CDK2
5564,Human,O14543;P23458;P40189;P61968;Q06124,SOCS3;JAK1;IL6ST;LMO4;PTPN11
5573,Human,P42224;Q92793,STAT1;CREBBP
5575,Human,O00482;Q15466,NR5A2;NR0B2
5579,Human,P26441;P26992;P40189;P42702,CNTF;CNTFR;IL6ST;LIFR
5582,Human,P15018;P40189;P42702,LIF;IL6ST;LIFR
5589,Human,P10244;P28749;Q09028;Q52LA3;Q5TKA1;Q6MZP7;Q96GY3,MYBL2;RBL1;RBBP4;LIN52;LIN9;LIN54;LIN37
5593,Human,Q09028;Q52LA3;Q5TKA1;Q6MZP7;Q96GY3,RBBP4;LIN52;LIN9;LIN54;LIN37
5596,Human,Q08999;Q09028;Q16254;Q52LA3;Q5TKA1;Q6MZP7;Q96GY3,RBL2;RBBP4;E2F4;LIN52;LIN9;LIN54;LIN37
5604,Human,P35579;P50402;P60709;Q12965;Q13813;Q15417;Q8WWI1;Q9BRV8,MYH9;EMD;ACTB;MYO1E;SPTAN1;CNN3;LMO7;SIKE1
5606,Human,P50402;P60709;Q13287;Q13813,EMD;ACTB;NMI;SPTAN1
5607,Human,P50402;P60709;Q13287,EMD;ACTB;NMI
5608,Human,P02545;P20700;P50402;P60709;Q13287;Q13813,LMNA;LMNB1;EMD;ACTB;NMI;SPTAN1
5609,Human,O15379;O75531;P28749;P50402;P60709;P68431;Q02539;Q13547;Q8WWI1,HDAC3;BANF1;RBL1;EMD;ACTB;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;H1-1;HDAC1;LMO7
5611,Human,P02545;P06400;P20700;P33991;P49736;P50402;P68431;Q00839;Q02539;Q07021;Q08999;Q13287;Q14566;Q9H0E3;Q9H503,LMNA;RB1;LMNB1;MCM4;MCM2;EMD;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;HNRNPU;H1-1;C1QBP;RBL2;NMI;MCM6;SAP130;BANF2
5613,Human,O75531;O95218;O95777;P05455;P20700;P31946;P50402;P60709;P61978;P62258;P62314;Q13283;Q16543;Q9H0E3;Q9P287;Q9Y333,BANF1;ZRANB2;LSM8;SSB;LMNB1;YWHAB;EMD;ACTB;HNRNPK;YWHAE;SNRPD1;G3BP1;CDC37;SAP130;BCCIP;LSM2
5614,Human,O00422;O15379;P20700;P28749;P50402;P60709;P68431;Q08999;Q12824;Q13263;Q13287;Q13547;Q13813;Q14839;Q8TAQ2;Q92922;Q9BQ87;Q9BZK7;Q9C005;Q9H503;Q9NPJ6;Q9UKL0,SAP18;HDAC3;LMNB1;RBL1;EMD;ACTB;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;RBL2;SMARCB1;TRIM28;NMI;HDAC1;SPTAN1;CHD4;SMARCC2;SMARCC1;TBL1Y;TBL1XR1;DPY30;BANF2;MED4;RCOR1
5615,Human,O00148;O95777;P10827;P12277;P14866;P20700;P27348;P46940;P50402;P51858;P60709;P61978;P62258;P62314;Q00839;Q02539;Q07021;Q08999;Q12906;Q13287;Q53EL6;Q9BZZ5;Q9Y2U8,DDX39A;LSM8;THRA;CKB;HNRNPL;LMNB1;YWHAQ;IQGAP1;EMD;HDGF;ACTB;HNRNPK;YWHAE;SNRPD1;HNRNPU;H1-1;C1QBP;RBL2;ILF3;NMI;PDCD4;API5;LEMD3
5622,Human,P07900;P38936;Q9UIM3,HSP90AA1;CDKN1A;FKBPL
5641,Human,P06241;P78352;Q12879,FYN;DLG4;GRIN2A
5642,Human,O95997;Q14674,PTTG1;ESPL1
5643,Human,P06493;Q14674,CDK1;ESPL1
5646,Human,O14786;O94887;Q9UIW2,NRP1;FARP2;PLXNA1
5647,Human,O14786;O75051;O94887,NRP1;PLXNA2;FARP2
5648,Human,O14786;O94887;P51805,NRP1;FARP2;PLXNA3
5649,Human,O14786;O94887;Q9HCM2,NRP1;FARP2;PLXNA4
5654,Human,Q9H3S1;Q9Y4D7,SEMA4A;PLXND1
5655,Human,O43707;Q96NW7;Q9UQM7,ACTN4;LRRC7;CAMK2A
5656,Human,P06400;Q01094;Q15744,RB1;E2F1;CEBPE
5658,Human,O14786;Q9Y4D7,NRP1;PLXND1
5659,Human,O14786;Q99985;Q9Y4D7,NRP1;SEMA3C;PLXND1
5660,Human,O60486;O75326,PLXNC1;SEMA7A
5661,Human,O43157;Q92854,PLXNB1;SEMA4D
5663,Human,P06400;P14373,RB1;TRIM27
5669,Human,O14786;P51805,NRP1;PLXNA3
5670,Human,O14786;O43157,NRP1;PLXNB1
5673,Human,O60462;Q9UIW2,NRP2;PLXNA1
5683,Human,O43543;O75771;Q06609,XRCC2;RAD51D;RAD51
5685,Human,P55072;Q8TAT6;Q92890;Q9BQE4;Q9BUN8,VCP;NPLOC4;UFD1;SELENOS;DERL1
5689,Human,O14786;Q8NFY4;Q9UIW2,NRP1;SEMA6D;PLXNA1
5691,Human,Q9Y275,TNFSF13B
5693,Human,O60264;P26358;Q13547;Q9UBC3;Q9UIF9,SMARCA5;DNMT1;HDAC1;DNMT3B;BAZ2A
5696,Human,O60462;P15692-6,NRP2;VEGFA
5698,Human,P15692-8;P17948,VEGFA;FLT1
5701,Human,O14786;P15692-4,NRP1;VEGFA
5709,Human,O94875;P22681;Q14289,SORBS2;CBL;PTK2B
5710,Human,P55345,PRMT2
5712,Human,P18084;Q05397,ITGB5;PTK2
5713,Human,P12931;P22681;Q92882,SRC;CBL;OSTF1
5714,Human,P29474;Q03135,NOS3;CAV1
5716,Human,P07900;P29474,HSP90AA1;NOS3
5718,Human,P07900;P29474;P31749,HSP90AA1;NOS3;AKT1
5720,Human,P22681;Q96B97,CBL;SH3KBP1
5721,Human,P22681;Q96B97;Q99962,CBL;SH3KBP1;SH3GL2
5724,Human,P22681;Q96B97;Q99963,CBL;SH3KBP1;SH3GL3
5727,Human,P20226;Q15572;Q15573;Q53T94,TBP;TAF1C;TAF1A;TAF1B
5730,Human,Q9Y6K9,IKBKG
5731,Human,O14786;P49767,NRP1;VEGFC
5732,Human,O60462;P49767,NRP2;VEGFC
5733,Human,O43915;O60462,VEGFD;NRP2
5734,Human,O14786;O43915,NRP1;VEGFD
5735,Human,P36897;P37173;P84022,TGFBR1;TGFBR2;SMAD3
5736,Human,P20226;P24928;P60709,TBP;POLR2A;ACTB
5740,Human,O60462;P35916,NRP2;FLT4
5745,Human,O14786;Q9UIW2,NRP1;PLXNA1
5746,Human,O14786;Q14563;Q9UIW2,NRP1;SEMA3A;PLXNA1
5747,Human,P08913;P42262,ADRA2A;GRIA2
5748,Human,P08913;P42262,ADRA2A;GRIA2
5749,Human,O15519;Q07817;Q14790,CFLAR;BCL2L1;CASP8
5755,Human,P63165;Q9UBE0;Q9UBT2,SUMO1;SAE1;UBA2
5756,Human,Q9UBE0;Q9UBT2,SAE1;UBA2
5757,Human,Q96S59;Q9UIW2,RANBP9;PLXNA1
5758,Human,O75051;Q96S59,PLXNA2;RANBP9
5759,Human,P51805;Q96S59,PLXNA3;RANBP9
5760,Human,Q96S59;Q9HCM2,RANBP9;PLXNA4
5762,Human,Q14194;Q8TDZ2;Q9UIW2,CRMP1;MICAL1;PLXNA1
5770,Human,Q01196;Q13951,RUNX1;CBFB
5772,Human,P33151;P35222;P35968;Q07157,CDH5;CTNNB1;KDR;TJP1
5798,Human,O15519;Q13158;Q14790,CFLAR;FADD;CASP8
5799,Human,O15519;P25445;Q13158;Q14790,CFLAR;FAS;FADD;CASP8
5800,Human,P25445;Q13158;Q14790,FAS;FADD;CASP8
5805,Human,Q14145;Q16236;Q96HS1,KEAP1;NFE2L2;PGAM5
5808,Human,Q13158;Q14790;Q8IUB6,FADD;CASP8;CD95
5809,Human,P14867;P18507;P47870,GABRA1;GABRG2;GABRB2
5811,Human,P04637;P10415,TP53;BCL2
5812,Human,P04637;Q07817,TP53;BCL2L1
5816,Human,O14727;P55211;P99999,APAF1;CASP9;CYCS
5823,Human,Q07820;Q16611,MCL1;BAK1
5827,Human,Q9Y6K9,IKBKG
5828,Human,O14920;Q9Y6K9,IKBKB;IKBKG
5829,Human,O15111;Q9Y6K9,CHUK;IKBKG
5830,Human,P37840;Q99497,SNCA;PARK7
5832,Human,Q8IXI1;Q9BXM7;Q9UPV9,RHOT2;PINK1;TRAK1
5836,Human,Q8IXI1;Q9UPV9,RHOT2;TRAK1
5837,Human,O60260;Q99497;Q9BXM7,PRKN;PARK7;PINK1
5843,Human,O95831;P62937,AIFM1;PPIA
5844,Human,O14920;O15111;Q9Y6K9,IKBKB;CHUK;IKBKG
5849,Human,P08238;Q16543;Q5S007,HSP90AB1;CDC37;LRRK2
5856,Human,P54819;Q13158;Q92851,AK2;FADD;CASP10
5859,Human,P25445;Q13158;Q14790;Q92851,FAS;FADD;CASP8;CASP10
5860,Human,P25445;Q13158;Q14790,FAS;FADD;CASP8
5861,Human,P25445;Q13158;Q92851,FAS;FADD;CASP10
5862,Human,P03372;P21796;Q03135,ESR1;VDAC1;CAV1
5870,Human,O00213;Q13547;Q63HK5,APBB1;HDAC1;TSHZ3
5872,Human,P15056;P36507;P62258;Q02750,BRAF;MAP2K2;YWHAE;MAP2K1
5873,Human,P04049;P62258;Q02750,RAF1;YWHAE;MAP2K1
5876,Human,P30153;P30154;P60842;P67775;Q9Y570,PPP2R1A;PPP2R1B;EIF4A1;PPP2CA;PPME1
5877,Human,P04049;P15056;P62258;Q02750;Q8IVT5,RAF1;BRAF;YWHAE;MAP2K1;KSR1
5918,Human,Q8IVT5,KSR1
5919,Human,P04049;P15056;P63104,RAF1;BRAF;YWHAZ
5920,Human,P04049;Q02750;Q8IVT5,RAF1;MAP2K1;KSR1
5921,Human,P15056;Q02750;Q8IVT5,BRAF;MAP2K1;KSR1
5922,Human,P01112;P04049,HRAS;RAF1
5923,Human,P04049;P15056,RAF1;BRAF
5924,Human,P04049;Q969H4,RAF1;CNKSR1
5925,Human,P15056;Q969H4,BRAF;CNKSR1
5926,Human,Q969H4,CNKSR1
5928,Human,P04049;P12931;Q969H4,RAF1;SRC;CNKSR1
5975,Human,P49755;P49768;Q92542;Q96BI3;Q9NZ42,TMED10;PSEN1;NCSTN;APH1A;PSENEN
5980,Human,P08238;Q5S007;Q9UNE7,HSP90AB1;LRRK2;STUB1
5991,Human,Q13158;Q14790;Q5S007,FADD;CASP8;LRRK2
6023,Human,P63098;Q08209,PPP3R1;PPP3CA
6025,Human,P61088;Q13404,UBE2N;UBE2V1
6037,Human,P10636;P11142;P62837;Q9UNE7,MAPT;HSPA8;UBE2D2;STUB1
6038,Human,O14576;P63167;Q14204;Q9Y6G9,DYNC1I1;DYNLL1;DYNC1H1;DYNC1LI1
6039,Human,O14576;P63167;Q14203;Q14204;Q9Y6G9,DYNC1I1;DYNLL1;DCTN1;DYNC1H1;DYNC1LI1
6041,Human,Q99689;Q9NRI5,FEZ1;DISC1
6043,Human,P63261;Q99689;Q9NRI5,ACTG1;FEZ1;DISC1
6046,Human,Q07343;Q9NRI5,PDE4B;DISC1
6052,Human,O95817;P11142;Q9UJY1;Q9UNE7,BAG3;HSPA8;HSPB8;STUB1
6053,Human,Q15831;Q7RTN6;Q9Y376,STK11;STRADA;CAB39
6056,Human,O75509;P05067,TNFRSF21;APP
6061,Human,Q70YC5;Q9NRI5,ZNF365;DISC1
6066,Human,P47989,XDH
6067,Human,P03372;P08047,ESR1;SP1
6068,Human,P03372;P17676,ESR1;CEBPB
6069,Human,P03372;Q9Y3R0,ESR1;GRIP1
6072,Human,P62995;Q13242;Q13247,TRA2B;SRSF9;SRSF6
6073,Human,Q13242;Q13247,SRSF9;SRSF6
6075,Human,Q2NKJ3;Q86WV5;Q9H668,CTC1;TEN1;STN1
6076,Human,P00519;Q14247;Q15746,ABL1;CTTN;MYLK
6078,Human,P12821;P54652;Q15084,ACE;HSPA2;PDIA6
6079,Human,P46379;P54652,BAG6;HSPA2
6080,Human,P14672;Q00610;Q15027,SLC2A4;CLTC;ACAP1
6083,Human,O14964;O43707;O75382;Q9ULV0,HGS;ACTN4;TRIM3;MYO5B
6084,Human,O00472;O60563;O60583;P42568;P50750;P51825;P55199;Q03111;Q96JC9;Q9HB65;Q9UHB7,ELL2;CCNT1;CCNT2;MLLT3;CDK9;AFF1;ELL;MLLT1;EAF1;ELL3;AFF4
6085,Human,A2A288;Q5D1E8,ZC3H12D;ZC3H12A
6087,Human,P10275;Q92731,AR;ESR2
6088,Human,O15120;Q96G97,AGPAT2;BSCL2
6089,Human,O15120;Q14693;Q96G97,AGPAT2;LPIN1;BSCL2
6090,Human,Q14693;Q96G97,LPIN1;BSCL2
6091,Human,P02545;P23511,LMNA;NFYA
6092,Human,P05412;P18847,JUN;ATF3
6095,Human,Q5EBL8;Q6IQ23,PDZD11;PLEKHA7
6096,Human,P02511;Q14524,CRYAB;SCN5A
6097,Human,P24468;Q02078,NR2F2;MEF2A
6103,Human,P01019;P13727,AGT;PRG2
6104,Human,P13727;Q13219,PRG2;PAPPA
6107,Human,P01019;P01024;P13727,AGT;C3;PRG2
6108,Human,Q13586;Q9HBA0,STIM1;TRPV4
6109,Human,Q86VS8;Q8N612;Q96ED9;Q9H8T0;Q9UJC3,HOOK3;FHIP1B;HOOK2;AKTIP;HOOK1
6111,Human,P17600;P67775,SYN1;PPP2CA
6112,Human,Q10469;Q96PD7,MGAT2;DGAT2
6114,Human,P11142;Q99933,HSPA8;BAG1
6115,Human,P0DMV8;Q99933,HSPA1A;BAG1
6116,Human,Q9H269;Q9UJC3,VPS16;HOOK1
6117,Human,Q9P253;Q9UJC3,VPS18;HOOK1
6118,Human,Q96JC1;Q9UJC3,VPS39;HOOK1
6119,Human,P49754;Q9UJC3,VPS41;HOOK1
6120,Human,Q96ED9;Q9H269,HOOK2;VPS16
6121,Human,P49754;Q96ED9,VPS41;HOOK2
6122,Human,Q86VS8;Q9H269,HOOK3;VPS16
6123,Human,P49754;Q86VS8,VPS41;HOOK3
6124,Human,Q9H269;Q9H8T0,VPS16;AKTIP
6125,Human,Q9H8T0;Q9P253,AKTIP;VPS18
6126,Human,P49754;Q9H8T0,VPS41;AKTIP
6127,Human,Q00987;Q93009;Q9UER7,MDM2;USP7;DAXX
6129,Human,O43310;P38919;P52298;P55884;Q09161;Q9BZI7,CTIF;EIF4A3;NCBP2;EIF3B;NCBP1;UPF3B
6131,Human,P04843;P04844;P27824;P39656;P46977;P55072;Q9BQE4;Q9BUN8;Q9GZP9;Q9Y6D0,RPN1;RPN2;CANX;DDOST;STT3A;VCP;SELENOS;DERL1;DERL2;SELENOK
6132,Human,Q16891;Q5TGZ0;Q9NX63,IMMT;MICOS10;CHCHD3
6133,Human,O00287;O14593;P48382,RFXAP;RFXANK;RFX5
6134,Human,O15537,RS1
6135,Human,P02792;P02794,FTL;FTH1
6136,Human,P14373;Q93009;Q9UJ55,TRIM27;USP7;MAGEL2
6137,Human,P04141;P15509;P32927,CSF2;CSF2RA;CSF2RB
6140,Human,O75496;Q9H211,GMNN;CDT1
6141,Human,P52292;P55060;P62826,KPNA2;CSE1L;RAN
6142,Human,P52292;Q14974,KPNA2;KPNB1
6143,Human,P62826;Q14974,RAN;KPNB1
6144,Human,Q5EE01;Q96BT3,CENPW;CENPT
6145,Human,A8MT69;Q8N2Z9,STRA13;CENPS
6146,Human,A8MT69;Q5EE01;Q8N2Z9;Q96BT3,STRA13;CENPW;CENPS;CENPT
6147,Human,O75531;P42167;Q9H503,BANF1;TMPO;BANF2
6148,Human,O75531;Q9H503,BANF1;BANF2
6149,Human,P62805;P68431;Q8IWY9;Q8TEX9;Q9Y294,H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4-16;H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12;CDAN1;IPO4;ASF1A
6153,Human,O43741;P54646;Q9UGI9,PRKAB2;PRKAA2;PRKAG3
6154,Human,O43741;P54619;Q13131,PRKAB2;PRKAG1;PRKAA1
6155,Human,O43741;P54619;P54646,PRKAB2;PRKAG1;PRKAA2
6158,Human,O14763;P50591,TNFRSF10B;TNFSF10
6159,Human,P67775;Q06190;Q93052,PPP2CA;PPP2R3A;LPP
6160,Human,Q13769;Q6I9Y2;Q86W42-2;Q8NI27;Q96FV9;Q96J01,THOC5;THOC7;THOC6;THOC2;THOC1;THOC3
6163,Human,A8MTZ0;Q3SYG4;Q8IWZ6;Q8N3I7;Q8NFJ9;Q8TAM2;Q96RK4;Q9BXC9,BBIP1;BBS9;BBS7;BBS5;BBS1;TTC8;BBS4;BBS2
6164,Human,P46108;P56945;P60953;Q07912,CRK;BCAR1;CDC42;TNK2
6165,Human,Q3SYG4;Q8IWZ6;Q8NFJ9;Q9BXC9,BBS9;BBS7;BBS1;BBS2
6166,Human,A8MTZ0;Q8TAM2;Q96RK4,BBIP1;TTC8;BBS4
6167,Human,O00471;O60645;Q8IYI6;Q8TAG9;Q96A65;Q96KP1;Q9NV70;Q9UPT5,EXOC5;EXOC3;EXOC8;EXOC6;EXOC4;EXOC2;EXOC1;EXOC7
6168,Human,O00471;Q8TAG9,EXOC5;EXOC6
6169,Human,O00471;Q8TAG9;Q9UPT5,EXOC5;EXOC6;EXOC7
6170,Human,P03950;P13489,ANG;RNH1
6173,Human,A0AVF1;Q13099;Q8N4P2;Q8WYA0;Q96LB3;Q9BW83;Q9H7X7;Q9NQC8;Q9Y366;Q9Y547,TTC26;IFT88;TTC30B;IFT81;IFT74;IFT27;IFT22;IFT46;IFT52;HSPB11
6175,Human,O00429;Q13158;Q92851,DNM1L;FADD;CASP10
6176,Human,P00533;P12931;Q9H5V8,EGFR;SRC;CDCP1
6178,Human,Q96EP0;Q9BYM8;Q9H0F6,RNF31;RBCK1;SHARPIN
6180,Human,P30153;Q9Y5P8,PPP2R1A;PPP2R3B
6182,Human,O43815;P30153;P67775,STRN;PPP2R1A;PPP2CA
6183,Human,P30153;P67775;Q13033,PPP2R1A;PPP2CA;STRN3
6184,Human,O14965;Q96GD4;Q9NQS7,AURKA;AURKB;INCENP
6185,Human,P63096;P81274;Q86UD0,GNAI1;GPSM2;SAPCD2
6186,Human,Q92562;Q9Y2I7;Q9Y6H5,FIG4;PIKFYVE;SNCAIP
6187,Human,Q00987;Q93009;Q9UBB9,MDM2;USP7;TFIP11
6188,Human,P04637;Q93009;Q9UBB9,TP53;USP7;TFIP11
6189,Human,P47897;P54136;Q12904,QARS1;RARS1;AIMP1
6190,Human,P01116;P08238;P53778,KRAS;HSP90AB1;MAPK12
6191,Human,P01344;P18065,IGF2;IGFBP2
6192,Human,Q13501;Q8NE62;Q9H492,SQSTM1;CHDH;MAP1LC3A
6193,Human,O43184;P05106;P06756;P50281,ADAM12;ITGB3;ITGAV;MMP14
6194,Human,O00159;O60264;O75533;P35659;Q03468;Q9BQG0;Q9NR30;Q9UIG0,MYO1C;SMARCA5;SF3B1;DEK;ERCC6;MYBBP1A;DDX21;BAZ1B
6195,Human,O14617;O95782;Q9Y698,AP3D1;AP2A1;CACNG2
6196,Human,P42261;Q96CW1;Q9Y698,GRIA1;AP2M1;CACNG2
6197,Human,P42261;P53677;Q9Y698,GRIA1;AP3M2;CACNG2
6198,Human,P42262;Q96CW1;Q9Y698,GRIA2;AP2M1;CACNG2
6199,Human,P42262;P53677;Q9Y698,GRIA2;AP3M2;CACNG2
6203,Human,P01106;Q92754;Q9UGL1,MYC;TFAP2C;KDM5B
6206,Human,P10275;P35222;Q9NSA3,AR;CTNNB1;CTNNBIP1
6208,Human,P00491,PNP
6209,Human,O76081;P48039;P63096,RGS20;MTNR1A;GNAI1
6210,Human,P48039;P49286,MTNR1A;MTNR1B
6211,Human,O76081;P48039;P49286,RGS20;MTNR1A;MTNR1B
6212,Human,Q08379;Q9BQQ3,GOLGA2;GORASP1
6213,Human,O43516;P42768;Q8NF50,WIPF1;WAS;DOCK8
6215,Human,O75140;Q12980;Q8WTW4,DEPDC5;NPRL3;NPRL2
6216,Human,P55735;Q6PJI9;Q96EE3;Q96S15;Q9NXC5,SEC13;WDR59;SEH1L;WDR24;MIOS
6217,Human,O75140;P55735;Q12980;Q6PJI9;Q8WTW4;Q96EE3;Q96S15;Q9NXC5,DEPDC5;SEC13;NPRL3;WDR59;NPRL2;SEH1L;WDR24;MIOS
6218,Human,P24928;Q92797;Q9NP77,POLR2A;SYMPK;SSU72
6219,Human,O95267;P01112;Q13574,RASGRP1;HRAS;DGKZ
6220,Human,P23760;Q13263;Q969S8,PAX3;TRIM28;HDAC10
6223,Human,O00522;O14713;Q9BSQ5,KRIT1;ITGB1BP1;CCM2
6224,Human,O00522;Q99759;Q9BSQ5,KRIT1;MAP3K3;CCM2
6226,Human,P62491;Q9Y6G9;Q9Y6K9,RAB11A;DYNC1LI1;IKBKG
6229,Human,O75143;O75385;Q8TDY2,ATG13;ULK1;RB1CC1
6230,Human,O75143;Q8IYT8;Q8TDY2,ATG13;ULK2;RB1CC1
6232,Human,O75143;O75385;Q8TDY2;Q9BSB4,ATG13;ULK1;RB1CC1;ATG101
6233,Human,Q13618;Q9H4A3;Q9UH77,CUL3;WNK1;KLHL3
6235,Human,P01100;P05412;P56270,FOS;JUN;MAZ
6236,Human,P51808;P63167;P63172;Q8IVD9;Q8NCM8;Q8TCX1;Q8TF09;Q8WVS4;Q8WW35;Q96EX3;Q96FJ2;Q9NP97,DYNLT3;DYNLL1;DYNLT1;NUDCD3;DYNC2H1;DYNC2LI1;DYNLRB2;DYNC2I1;DYNLT2B;DYNC2I2;DYNLL2;DYNLRB1
6237,Human,Q13547;Q96IF1;Q99684,HDAC1;AJUBA;GFI1
6238,Human,Q86SQ9;Q96E22,DHDDS;NUS1
6242,Human,O00141;P10636;P27348,SGK1;MAPT;YWHAQ
6243,Human,Q92769;Q96IF1;Q99684,HDAC2;AJUBA;GFI1
6244,Human,O15379;Q96IF1;Q99684,HDAC3;AJUBA;GFI1
6245,Human,O14746;O60832;Q86US8;Q9BUR4;Q9NPE3;Q9NX24;Q9NY12,TERT;DKC1;SMG6;WRAP53;NOP10;NHP2;GAR1
6246,Human,Q15154;Q96RK4;Q9UPN4,PCM1;BBS4;CEP131
6247,Human,P17987;P48643;P49368;P50990;P50991;P78371;Q6ZW61;Q8IWZ6;Q8TAM1;Q9NPJ1,TCP1;CCT5;CCT3;CCT8;CCT4;CCT2;BBS12;BBS7;BBS10;MKKS
6248,Human,P49841;Q969H0;Q99062,GSK3B;FBXW7;CSF3R
6249,Human,O75431;Q13505;Q16891;Q5HYI7;Q5TGZ0;Q5XKP0;Q6UXV4;Q9BRQ6;Q9BUR5;Q9NVH1;Q9NX63;Q9Y512,MTX2;MTX1;IMMT;MTX3;MICOS10;MICOS13;APOOL;CHCHD6;APOO;DNAJC11;CHCHD3;SAMM50
6250,Human,Q01970;Q15599;Q9HBW0,PLCB3;SLC9A3R2;LPAR2
6251,Human,P03372;P08069;P29353,ESR1;IGF1R;SHC1
6253,Human,P62491;Q7L804;Q9ULV0,RAB11A;RAB11FIP2;MYO5B
